sex,age_start,age_end,pregnant,wealth_quintile,value
Male,55.0,60.0,not_pregnant,second,407637.442132586
Male,55.0,60.0,not_pregnant,middle,419015.94053736684
Male,55.0,60.0,not_pregnant,fourth,448678.4699173746
Male,55.0,60.0,not_pregnant,highest,478415.464191811
Male,60.0,65.0,not_pregnant,lowest,330017.65187629213
Male,60.0,65.0,not_pregnant,second,288807.06602396676
Male,60.0,65.0,not_pregnant,middle,296868.6187676284
Male,60.0,65.0,not_pregnant,fourth,317884.2252739202
Male,60.0,65.0,not_pregnant,highest,338952.5894159416
Male,65.0,70.0,not_pregnant,lowest,230783.12281459896
Male,65.0,70.0,not_pregnant,second,201964.33799522242
Male,65.0,70.0,not_pregnant,middle,207601.8252821577
Male,65.0,70.0,not_pregnant,fourth,222298.15219009802
Male,65.0,70.0,not_pregnant,highest,237031.37279707764
Male,70.0,75.0,not_pregnant,lowest,165335.9945774288
Male,70.0,75.0,not_pregnant,second,144689.84683268084
Male,70.0,75.0,not_pregnant,middle,148728.6151625983
Male,70.0,75.0,not_pregnant,fourth,159257.2525964169
Male,70.0,75.0,not_pregnant,highest,169812.3211502841
Male,75.0,80.0,not_pregnant,lowest,110289.84419877896
Male,75.0,80.0,not_pregnant,second,96517.52303004004
Male,75.0,80.0,not_pregnant,middle,99211.64375674578
Male,75.0,80.0,not_pregnant,fourth,106234.92858452407
Male,75.0,80.0,not_pregnant,highest,113275.8446856352
Male,80.0,85.0,not_pregnant,lowest,63436.47730892113
Male,80.0,85.0,not_pregnant,second,55514.9180243034
Male,80.0,85.0,not_pregnant,middle,57064.52152214799
Male,80.0,85.0,not_pregnant,fourth,61104.17224292015
Male,80.0,85.0,not_pregnant,highest,65153.964113848364
Male,85.0,90.0,not_pregnant,lowest,27908.03081576762
Male,85.0,90.0,not_pregnant,second,24423.046623668546
Male,85.0,90.0,not_pregnant,middle,25104.77398314136
Male,85.0,90.0,not_pregnant,fourth,26881.96435661112
Male,85.0,90.0,not_pregnant,highest,28663.616193627855
Male,90.0,95.0,not_pregnant,lowest,9224.713997184968
Male,90.0,95.0,not_pregnant,second,8072.78813509005
Male,90.0,95.0,not_pregnant,middle,8298.126137499012
Male,90.0,95.0,not_pregnant,fourth,8885.558229072683
Male,90.0,95.0,not_pregnant,highest,9474.465011766679
Male,95.0,125.0,not_pregnant,lowest,1846.9680429291072
Male,95.0,125.0,not_pregnant,second,1616.329970489991
Male,95.0,125.0,not_pregnant,middle,1661.447042892869
Male,95.0,125.0,not_pregnant,fourth,1779.0624292190648
Male,95.0,125.0,not_pregnant,highest,1896.9730775309722
