sex,age_start,age_end,pregnant,wealth_quintile,value
Male,85.0,90.0,not_pregnant,2,29680.663620917127
Male,85.0,90.0,not_pregnant,3,30509.148320204386
Male,85.0,90.0,not_pregnant,4,32668.91939537276
Male,85.0,90.0,not_pregnant,5,34834.11236572216
Male,90.0,95.0,not_pregnant,1,14034.261401049042
Male,90.0,95.0,not_pregnant,2,12281.74867618817
Male,90.0,95.0,not_pregnant,3,12624.57257624216
Male,90.0,95.0,not_pregnant,4,13518.277847866375
Male,90.0,95.0,not_pregnant,5,14414.226679635083
Male,95.0,125.0,not_pregnant,1,5056.112333904845
Male,95.0,125.0,not_pregnant,2,4424.735950760671
Male,95.0,125.0,not_pregnant,3,4548.244848014841
Male,95.0,125.0,not_pregnant,4,4870.219344399611
Male,95.0,125.0,not_pregnant,5,5193.002126435777
